source_file,source_sheet,source_row,source_row_end,field,corrected_value,note
1995.xls,Sheet1,25161,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25162,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25163,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25164,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25165,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25166,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25167,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25168,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25169,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25170,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25171,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25172,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25173,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25174,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25175,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25176,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25177,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25178,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25543,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25544,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25545,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25546,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25547,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25548,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25549,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25550,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25551,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25552,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25553,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25554,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25555,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25556,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25557,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25558,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25559,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25560,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25561,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26571,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26572,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26573,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26574,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26575,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26576,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26577,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26578,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26579,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26580,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26581,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26582,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26583,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26584,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26585,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26586,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26587,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26588,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26589,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26590,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26591,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26592,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26593,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26594,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26595,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26987,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26988,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26989,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26990,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26991,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26992,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26993,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26994,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26995,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26996,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26997,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26998,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,26999,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27000,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27001,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27002,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27003,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27004,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27005,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27006,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27007,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27008,,day_raw,19,"Late 23:00 block appears to belong to 19 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,27475,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,27476,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,27477,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,27478,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,27479,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,27480,,primary_scores_raw,,Bogus decimal series in primary moult field; clear invalid moult value.
1995.xls,Sheet1,29448,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,29449,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,29810,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1996.xls,Sheet1,10519,,wing_raw,,Sex code landed in wing column; no recoverable wing measurement.
1997.xls,Sheet1,13452,,wing_raw,,Sex code landed in wing column; no recoverable wing measurement.
2016.xlsx,Sheet1,597,,weight_raw,,Sex code landed in weight column; no recoverable weight measurement.
2023.xlsx,2023 Ringing Data ALL books,6166,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6168,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6170,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6172,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6174,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6176,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6178,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6180,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6182,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6184,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6186,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6188,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6190,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6192,,row_action,ignore,Values differ; kept first row arbitrarily.
2018.xlsx,Ringing Data,7010,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7011,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7012,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7013,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7014,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7015,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7016,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7017,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7018,,row_action,ignore,Exact duplicate; kept first row.
2018.xlsx,Ringing Data,7019,,row_action,ignore,Exact duplicate; kept first row.
2016.xlsx,Sheet1,718,,row_action,ignore,Exact duplicate; kept first row.
2008_Processed.xlsx,Sheet1,12730,,row_action,ignore,Exact duplicate; kept first row.
2008_Processed.xlsx,Sheet1,12732,,row_action,ignore,Exact duplicate; kept first row.
2008_Processed.xlsx,Sheet1,17392,,row_action,ignore,Only date_raw differs; kept row with 2008 date.
2008_Processed.xlsx,Sheet1,17393,,row_action,ignore,Only date_raw differs; kept row with 2008 date.
2008_Processed.xlsx,Sheet1,17394,,row_action,ignore,Only date_raw differs; kept row with 2008 date.
2008_Processed.xlsx,Sheet1,17395,,row_action,ignore,Only date_raw differs; kept row with 2008 date.
2008_Processed.xlsx,Sheet1,17396,,row_action,ignore,Only date_raw differs; kept row with 2008 date.
2008_Processed.xlsx,Sheet1,18688,,row_action,ignore,Exact duplicate; kept first row.
1997.xls,Sheet1,3434,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3435,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3436,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3437,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3438,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3439,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3440,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3441,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3442,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3443,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3444,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3445,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3446,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3447,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3448,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3449,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3450,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3451,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3452,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3453,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3454,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3455,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3456,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3457,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3458,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3459,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3460,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3461,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3462,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3463,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3464,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3465,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3466,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3467,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3468,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3469,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3470,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3471,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3472,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3473,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3474,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3475,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3476,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3477,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3478,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3479,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3480,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3481,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3482,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3483,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3484,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3485,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3486,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3487,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3488,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3489,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3490,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3491,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3492,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3493,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3494,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3495,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3496,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3497,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3498,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3499,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3500,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3501,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3502,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3503,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3504,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3505,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3506,,row_action,ignore,Values differ; kept first row arbitrarily.
1997.xls,Sheet1,3507,,row_action,ignore,Values differ; kept first row arbitrarily.
2023.xlsx,2023 Ringing Data ALL books,6826,,row_action,ignore,External recovery; exclude from Ngulia ringing data.
1999.xls,Sheet1,11062,,wing_raw,68,Biometric values shifted two cells to the right; restored wing.
1999.xls,Sheet1,11062,,weight_raw,14.4,Biometric values shifted two cells to the right; restored weight.
1999.xls,Sheet1,11062,,fat_kaiser_raw,5,Biometric values shifted two cells to the right; restored Kaiser fat score.
1999.xls,Sheet1,11062,,retrap_code_raw,,Biometric values shifted two cells to the right; cleared incorrect retrap code.
1999.xls,Sheet1,11062,,note_raw,,Biometric values shifted two cells to the right; cleared incorrect remarks value.
2009.xls,Sheet1,2553,,sex_raw,,Biometric values shifted to the right; cleared incorrect sex value.
2009.xls,Sheet1,2553,,wing_raw,119,Biometric values shifted to the right; restored wing.
2009.xls,Sheet1,2553,,weight_raw,17.9,Biometric values shifted to the right; restored weight.
2009.xls,Sheet1,2563,,sex_raw,,Biometric values shifted to the right; cleared incorrect sex value.
2009.xls,Sheet1,2563,,wing_raw,124,Biometric values shifted to the right; restored wing.
2009.xls,Sheet1,2563,,weight_raw,18.8,Biometric values shifted to the right; restored weight.
2009.xls,Sheet1,2566,,sex_raw,,Biometric values shifted to the right; cleared incorrect sex value.
2009.xls,Sheet1,2566,,wing_raw,110,Biometric values shifted to the right; restored wing.
2009.xls,Sheet1,2566,,weight_raw,16.7,Biometric values shifted to the right; restored weight.
1998.xls,Sheet1,14625,,weight_raw,21.4,Biometric values shifted to the right; restored weight.
1998.xls,Sheet1,14625,,fat_ngulia_raw,,Biometric values shifted to the right; cleared the displaced weight value from the Ngulia fat field.
1998.xls,Sheet1,14625,,fat_kaiser_raw,2,Biometric values shifted to the right; restored Kaiser fat score from the following source field.
1998.xls,Sheet1,14625,,retrap_code_raw,,Biometric values shifted to the right; cleared incorrect retrap code.
1998.xls,Sheet1,14625,,note_raw,,Biometric values shifted to the right; cleared incorrect remarks value.
1993.xls,1993 All,6663,,fat_ngulia_raw,3,Removed accidental trailing characters from Ngulia fat score.
1995.xls,Sheet1,8223,,fat_ngulia_raw,2,Removed accidental trailing character from Ngulia fat score.
2011.xls,Sheet1,530,,fat_kaiser_raw,3,Separated Kaiser fat score from trailing ringer initials.
2016.xlsx,Sheet1,1899,,fat_kaiser_raw,1,Separated Kaiser fat score from trailing ringer initials.
2016.xlsx,Sheet1,11099,,fat_kaiser_raw,2,Separated Kaiser fat score from trailing ringer initials.
2020.xlsx,Ring Data,64,,weight_raw,25.3,Weight and fat values were shifted one column to the right; restored weight.
2020.xlsx,Ring Data,64,,fat_kaiser_raw,1,Weight and fat values were shifted one column to the right; restored Kaiser fat score.
1993.xls,1993 All,10007,,fat_ngulia_raw,3,Removed a duplicated digit from the Ngulia fat score.
1995.xls,Sheet1,7218,,fat_ngulia_raw,3,Removed a duplicated digit from the Ngulia fat score.
1996.xls,Sheet1,53,,fat_ngulia_raw,1,Removed a duplicated digit from the Ngulia fat score.
1994.xls,94 combined,651,,fat_ngulia_raw,1,Removed an accidental decimal suffix from the Ngulia fat score.
1994.xls,94 combined,651,,fat_kaiser_raw,0,Removed an accidental decimal suffix from the Kaiser fat score.
1998.xls,Sheet1,18584,,fat_ngulia_raw,3,Removed an accidental leading digit from the Ngulia fat score.
1998.xls,Sheet1,18584,,fat_kaiser_raw,4,Removed an accidental leading digit from the Kaiser fat score.
1998.xls,Sheet1,20170,,fat_ngulia_raw,1,Removed an accidental decimal suffix from the Ngulia fat score.
1998.xls,Sheet1,20170,,fat_kaiser_raw,0,Removed an accidental decimal suffix from the Kaiser fat score.
1999.xls,Sheet1,9407,,fat_ngulia_raw,3,Removed an accidental trailing digit from the Ngulia fat score.
1999.xls,Sheet1,9407,,fat_kaiser_raw,4,Removed an accidental trailing digit from the Kaiser fat score.
1999.xls,Sheet1,10202,,fat_ngulia_raw,1,Removed an accidental trailing digit from the Ngulia fat score.
1999.xls,Sheet1,10202,,fat_kaiser_raw,0,Removed an accidental trailing digit from the Kaiser fat score.
1999.xls,Sheet1,11150,,fat_ngulia_raw,1,Removed an accidental decimal suffix from the Ngulia fat score.
1999.xls,Sheet1,11150,,fat_kaiser_raw,0,Removed an accidental decimal suffix from the Kaiser fat score.
2006-2007_Processed.xls,Sheet1,4767,,fat_ngulia_raw,4,Removed an accidental trailing digit from the Ngulia fat score.
2006-2007_Processed.xls,Sheet1,4767,,fat_kaiser_raw,7,Removed an accidental trailing digit from the Kaiser fat score.
2009.xls,Sheet1,2940,,fat_kaiser_raw,0,Interpreted the letter O as a zero fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,39784,,fat_ngulia_raw,1,Removed an accidental decimal suffix from the Ngulia fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,39784,,fat_kaiser_raw,0,Removed an accidental decimal suffix from the Kaiser fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,40999,,fat_ngulia_raw,3,Removed an accidental trailing digit from the Ngulia fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,40999,,fat_kaiser_raw,4,Removed an accidental trailing digit from the Kaiser fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,41751,,fat_ngulia_raw,1,Removed an accidental trailing digit from the Ngulia fat score.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,41751,,fat_kaiser_raw,0,Removed an accidental trailing digit from the Kaiser fat score.
1999.xls,Sheet1,11062,,fat_ngulia_raw,,Biometric values shifted two cells to the right; cleared the displaced value from the Ngulia fat field.
2017.xlsx,Ringing Data,4699,,wing_raw,95,Wing and weight values were shifted one column to the right; restored wing.
2017.xlsx,Ringing Data,4699,,weight_raw,20,Wing and weight values were shifted one column to the right; restored weight.
2017.xlsx,Ringing Data,4699,,fat_kaiser_raw,,Wing and weight values were shifted one column to the right; cleared the displaced weight from the fat field.
2022.xlsx,2022 All Pal Data,2078,,wing_raw,98,Wing and weight values were shifted one column to the right; restored wing.
2022.xlsx,2022 All Pal Data,2078,,weight_raw,22.1,Wing and weight values were shifted one column to the right; restored weight.
2022.xlsx,2022 All Pal Data,2078,,fat_kaiser_raw,,Wing and weight values were shifted one column to the right; cleared the displaced weight from the fat field.
2020.xlsx,Ring Data,5842,,fat_kaiser_raw,,Cleared a weight value duplicated into the fat field.
2010.xls,Sheet1,1818,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2012.xls,Sheet1,3816,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2012.xls,Sheet1,5621,,fat_kaiser_raw,,Cleared a ringer identifier entered in the fat field.
2012.xls,Sheet1,7726,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2013.xls,Sheet1,980,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2015.xls,Sheet1,1982,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2015.xls,Sheet1,1983,,fat_kaiser_raw,,Cleared a ringer identifier entered in the fat field.
2015.xls,Sheet1,1984,,fat_kaiser_raw,,Cleared a ringer identifier entered in the fat field.
2015.xls,Sheet1,3026,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2015.xls,Sheet1,3917,,fat_kaiser_raw,,Cleared ringer initials entered in the fat field.
2015.xls,Sheet1,4766,,fat_kaiser_raw,,Cleared a ringer identifier entered in the fat field.
1995.xls,Sheet1,27475,,row_action,ignore,Corrupted interpolated duplicate of a clean source row; exclude the false second event.
